FIPS,STATE,NNC,NNR,NNN,NNA,NMC,NMR,NMN,NMA,CNC,CNR,CNN,CNA,CMC,CMR,CMN,CMA
18061,Indiana,-50.54,0.00,67.40,0.06,647.97,655.30,664.32,655.12,510.64,653.12,746.17,628.97,1008.44,1115.69,1283.97,1122.14
18063,Indiana,-65.45,0.00,79.44,-1.89,261.79,344.29,445.22,342.10,238.61,399.02,534.88,379.63,607.92,778.79,875.54,746.10
18065,Indiana,-67.29,0.00,81.50,-1.99,400.98,481.59,560.14,474.42,360.20,522.90,659.06,502.82,806.88,933.42,1084.22,929.06
18067,Indiana,-72.41,0.00,90.82,-1.36,141.55,227.40,331.55,224.91,218.18,407.08,573.02,385.73,421.37,633.49,825.90,611.05
18069,Indiana,-67.42,0.00,84.55,-1.27,250.08,294.97,347.13,293.09,293.30,473.55,624.27,451.27,760.14,800.70,904.26,813.15
18071,Indiana,-56.04,0.00,72.93,-0.39,761.44,781.38,600.58,729.40,439.71,588.85,693.56,565.40,1087.82,1214.21,1300.00,1193.60
18073,Indiana,-54.32,0.00,75.01,0.71,254.93,342.40,444.15,338.76,211.47,353.31,506.39,344.43,562.46,702.37,827.02,687.00
18075,Indiana,-60.20,0.00,75.67,-1.09,161.66,233.31,319.81,231.13,333.24,496.86,623.83,474.17,558.06,747.55,846.51,709.21
18077,Indiana,-50.08,0.00,65.75,-0.20,589.88,639.62,645.65,624.55,459.79,597.67,692.76,575.57,930.36,1025.62,1185.89,1034.06
18079,Indiana,-58.33,0.00,75.58,-0.49,167.08,235.00,319.04,233.44,426.77,579.89,688.81,556.17,634.43,813.24,925.91,781.91
18081,Indiana,-58.62,0.00,79.54,0.41,410.57,467.40,562.89,472.40,284.80,439.19,573.58,421.44,773.24,873.60,997.38,871.19
18083,Indiana,-57.59,0.00,77.44,0.23,172.49,241.44,328.16,240.21,422.64,583.19,697.55,558.36,665.88,842.42,949.41,810.42
18085,Indiana,-54.84,0.00,79.68,1.70,264.73,360.35,380.65,333.57,213.16,354.80,528.42,351.13,568.46,538.77,680.26,584.15
18087,Indiana,-60.94,0.00,78.22,-0.70,99.53,162.29,242.58,161.51,205.44,345.53,513.24,340.90,369.83,457.16,689.97,486.44
18089,Indiana,-56.17,0.00,75.54,0.22,635.94,597.39,630.77,618.61,243.33,390.04,541.55,379.14,870.68,988.89,1109.81,979.82
18091,Indiana,-51.16,0.00,76.13,2.04,172.44,224.12,212.59,204.00,175.55,306.59,478.56,306.04,123.35,248.09,521.56,275.09
18093,Indiana,-55.28,0.00,72.54,-0.23,205.53,265.93,340.51,264.50,450.50,602.09,704.97,577.37,738.41,825.54,949.23,827.52
18095,Indiana,-63.59,0.00,84.52,0.00,430.31,482.17,474.49,462.96,270.48,446.99,600.00,426.53,777.61,920.63,971.94,885.83
18097,Indiana,-56.84,0.00,78.11,0.64,922.77,1015.72,1072.79,999.05,414.47,567.21,703.25,550.42,1177.90,1268.84,1367.51,1263.27
18099,Indiana,-61.85,0.00,79.45,-0.69,141.80,161.02,248.13,176.46,215.06,361.60,536.02,356.50,403.83,587.90,657.47,544.00
18101,Indiana,-61.44,0.00,79.88,-0.45,166.89,237.74,325.76,236.20,427.84,587.93,702.11,563.21,634.21,821.05,941.40,788.96
18103,Indiana,-67.30,0.00,84.42,-1.26,391.86,383.09,437.10,399.56,250.66,427.65,577.46,406.23,842.49,959.56,997.94,930.17
18105,Indiana,-54.88,0.00,71.84,-0.28,211.13,275.89,356.84,274.61,399.37,544.82,653.63,523.63,708.64,799.79,922.46,800.17
18107,Indiana,-71.02,0.00,88.94,-1.37,38.89,113.17,204.64,111.35,288.66,484.14,629.64,455.47,392.07,605.25,738.43,567.60
